Filename,Red_Mean,Green_Mean,Blue_Mean,Blur_Variance,Brightness,Highlight_Ratio,Category_Tags
209_img_.png,118.9,123.78,109.13,638.07,120.65,0.0035,Standard / Moderate
210_img_.png,118.68,131.37,118.28,423.57,126.09,0.0123,Standard / Moderate
211_img_.png,110.84,119.2,99.05,958.15,114.4,0.028,Shallow (Sunlit / Caustics)
212_img_.png,123.51,134.57,104.7,1212.36,127.86,0.0156,Standard / Moderate
213_img_.png,128.84,130.77,132.92,384.46,130.44,0.001,Standard / Moderate
214_img_.png,132.87,134.73,136.1,347.28,134.34,0.0005,Standard / Moderate
215_img_.png,125.3,129.25,119.01,611.1,126.9,0.0053,Standard / Moderate
216_img_.png,123.07,129.85,111.96,595.78,125.79,0.0062,Standard / Moderate
217_img_.png,126.13,140.61,111.67,402.22,132.99,0.0019,Standard / Moderate
219_img_.png,110.48,122.83,74.08,1730.66,113.58,0.0178,Standard / Moderate
220_img_.png,118.52,126.43,110.01,1439.68,122.19,0.0134,Standard / Moderate
221_img_.png,31.66,96.81,156.66,1088.57,84.13,0.0001,Deep Sea (Severe Cast)
222_img_.png,18.85,109.68,130.38,129.24,84.9,0.0004,Deep Sea (Severe Cast)
223_img_.png,123.47,134.96,129.46,836.61,130.9,0.0067,Standard / Moderate
224_img_.png,127.67,136.81,131.56,600.4,133.48,0.0041,Standard / Moderate
225_img_.png,28.21,108.26,121.33,7340.52,85.81,0.0169,Deep Sea (Severe Cast)
226_img_.png,130.41,139.52,135.63,219.58,136.36,0.0016,Standard / Moderate
227_img_.png,85.71,134.24,164.09,1298.96,123.12,0.0239,Shallow (Sunlit / Caustics)
228_img_.png,14.39,118.15,138.05,333.08,89.4,0.0008,Deep Sea (Severe Cast)
229_img_.png,33.79,58.95,71.26,94.36,52.82,0.0085,Turbid / High Haze
22_img_.png,131.72,140.32,147.09,31,138.52,0.0007,Turbid / High Haze
230_img_.png,112.06,119.27,98.74,1633.26,114.77,0.0117,Standard / Moderate
231_img_.png,137.98,143.1,145.59,150.43,141.85,0.0004,Standard / Moderate
232_img_.png,128.11,134.22,129.36,260.17,131.84,0.0002,Standard / Moderate
233_img_.png,131.87,136.04,126.19,444.12,133.67,0.0028,Standard / Moderate
234_img_.png,120.39,127.7,111.71,1258.93,123.7,0.012,Standard / Moderate
236_img_.png,128.4,136.88,127.33,433.75,133.25,0.0017,Standard / Moderate
238_img_.png,118.35,144.47,153.96,142.91,137.74,0,Standard / Moderate
23_img_.png,121.57,130.54,139.14,75.26,128.84,0.0024,Turbid / High Haze
240_img_.png,51.24,95.11,120.01,47.46,84.81,0.0251,Turbid / High Haze + Shallow (Sunlit / Caustics)
241_img_.png,132.62,137.28,141.87,129.59,136.42,0,Standard / Moderate
242_img_.png,138.77,138.63,127.86,700.92,137.45,0.0009,Standard / Moderate
243_img_.png,138.23,136.26,138.87,366.34,137.15,0.0002,Standard / Moderate
244_img_.png,39.6,115.79,118.46,2014.56,93.33,0.0022,Deep Sea (Severe Cast)
245_img_.png,135.46,134.51,138.41,330.7,135.24,0.0007,Standard / Moderate
246_img_.png,44.66,93.64,123.94,1217.41,82.43,0.0025,Standard / Moderate
247_img_.png,121.78,123.1,112.17,606.85,121.46,0.0025,Standard / Moderate
248_img_.png,125.87,134.97,143.51,59.13,133.23,0,Turbid / High Haze
24_img_.png,114.64,142.14,150.71,16.48,134.9,0,Turbid / High Haze
251_img_.png,118.25,124.16,101.95,838.97,119.86,0.0091,Standard / Moderate
252_img_.png,132.59,131.26,131.64,321.08,131.71,0.001,Standard / Moderate
253_img_.png,120.02,130.04,105.97,1066.61,124.3,0.0147,Standard / Moderate
2546.png,86.93,87.89,75.33,169,86.17,0.0034,Standard / Moderate
254_img_.png,126.09,133.94,143.11,43.71,132.65,0,Turbid / High Haze
255_img_.png,18.94,157.79,219.4,13.43,123.27,0,Turbid / High Haze + Deep Sea (Severe Cast)
257_img_.png,82.32,107.8,112.54,66.31,100.72,0.0017,Turbid / High Haze
258_img_.png,41.6,91.77,118.76,867.12,79.84,0.0001,Standard / Moderate
259_img_.png,103.94,121.83,137.94,3757.27,118.32,0.018,Standard / Moderate
25_img_.png,122.62,143.63,151.13,39.7,138.2,0.001,Turbid / High Haze
260_img_.png,29.2,99.17,122.85,366.29,80.94,0.0004,Deep Sea (Severe Cast)
261_img_.png,134.11,134.48,124.01,473.2,133.19,0.0005,Standard / Moderate
2629.png,31.91,69.9,61.29,34.26,57.57,0,Turbid / High Haze
262_img_.png,131.66,131.53,127.98,197.56,131.17,0,Standard / Moderate
263_img_.png,53.11,133.48,156.54,137.66,112.08,0.0351,Shallow (Sunlit / Caustics)
265_img_.png,126.38,126.42,123.19,160.25,126.04,0,Standard / Moderate
266_img_.png,124.91,129.77,111.35,590.6,126.21,0.0037,Standard / Moderate
2677.png,30.41,77.22,69.59,16.25,62.35,0,Turbid / High Haze
267_img_.png,128.39,128.7,128.33,114.21,128.57,0,Standard / Moderate
268_img_.png,1.8,109.53,111.67,60.9,77.53,0.0001,Turbid / High Haze + Deep Sea (Severe Cast)
26_img_.png,123.62,148.86,157.22,26.93,142.27,0.0005,Turbid / High Haze
2701.png,49.77,76.86,72.87,65.1,68.3,0.0001,Turbid / High Haze
270_img_.png,125.78,134.25,115.91,184.07,129.62,0.0057,Standard / Moderate
271_img_.png,106.98,121.1,85.41,806.26,112.81,0.0073,Standard / Moderate
272_img_.png,130.89,135.57,135.46,77.54,134.16,0,Turbid / High Haze
273_img_.png,120.15,124.94,114.55,87.6,122.34,0.0006,Turbid / High Haze
274_img_.png,46.92,146.85,146.81,289.7,116.98,0.0097,Standard / Moderate
275_img_.png,104,116.7,90.78,706.82,109.95,0.0066,Standard / Moderate
276_img_.png,128.55,129.76,126.37,81.78,129.02,0,Turbid / High Haze
2774.png,57.72,93.36,89.62,19.1,82.27,0,Turbid / High Haze
277_img_.png,60.03,135.74,142.93,153.23,113.9,0.0793,Shallow (Sunlit / Caustics)
2787.png,18.38,52.9,63.99,22.32,43.84,0,Low Illumination + Turbid / High Haze
278_img_.png,47.01,100.7,120.04,360.3,86.84,0.008,Standard / Moderate
279_img_.png,34.46,64.75,97.81,283.78,59.45,0.0035,Deep Sea (Severe Cast)
27_img_.png,117.99,143.58,149.39,37.14,136.59,0.0009,Turbid / High Haze
280_img_.png,129.79,147.99,149.85,11.81,142.77,0,Turbid / High Haze
281_img_.png,139.78,141.09,140.08,161.1,140.58,0.0005,Standard / Moderate
282_img_.png,88.65,154.72,157.92,1484.56,135.33,0.0029,Standard / Moderate
284_img_.png,56.41,145.11,163.78,429.61,120.7,0.0074,Standard / Moderate
285_img_.png,29.24,99.5,116.46,127.25,80.42,0.0079,Deep Sea (Severe Cast)
287_img_.png,24.93,93.68,117.53,597.28,75.82,0.0031,Deep Sea (Severe Cast)
2882.png,61.1,82.03,79.02,42.97,75.43,0,Turbid / High Haze
288_img_.png,38.55,137.79,104.87,662.4,104.36,0.002,High Green Density (Algae) + Deep Sea (Severe Cast)
28_img_.png,68.9,145.74,135.44,300.87,121.59,0.024,Shallow (Sunlit / Caustics)
290_img_.png,47.64,77.49,68.32,815.93,67.51,0.0028,Standard / Moderate
292_img_.png,119.47,161.4,142.46,701.06,146.7,0.0588,Shallow (Sunlit / Caustics)
293_img_.png,44.53,138.28,96.01,1183.27,105.43,0,High Green Density (Algae)
294_img_.png,30.64,36.24,43.36,3291.88,35.39,0.0005,Low Illumination
295_img_.png,43.28,138.4,153.85,4400.91,111.71,0.0139,Standard / Moderate
296_img_.png,56.05,122.69,107.03,48.28,100.98,0.0001,Turbid / High Haze
2977.png,36.56,106.01,110.72,176.4,85.78,0,Deep Sea (Severe Cast)
298_img_.png,63.54,99.02,128.63,363.81,91.77,0.0112,Standard / Moderate
299_img_.png,9.85,141.31,152.78,351.12,103.32,0.0071,Deep Sea (Severe Cast)
29_img_.png,108.27,107.65,121.77,2313.62,109.43,0.0051,Standard / Moderate
2_img_.png,56.14,96.66,119.61,3764.01,87.14,0.0046,Standard / Moderate
3001.png,17.92,86.6,105.58,68.39,68.24,0,Turbid / High Haze + Deep Sea (Severe Cast)
300_img_.png,58.58,109.99,69.27,592.33,89.95,0.0008,High Green Density (Algae)
3015.png,84.33,107.1,113.81,85.67,101.06,0.06,Turbid / High Haze + Shallow (Sunlit / Caustics)
301_img_.png,13.18,129.97,130.54,344.42,95.12,0,Deep Sea (Severe Cast)
302_img_.png,7.74,102.53,117.4,267.47,75.88,0.0003,Deep Sea (Severe Cast)
303_img_.png,55.14,116.85,143.71,755.78,101.45,0,Standard / Moderate
304_img_.png,100.51,104.89,54.99,1890.97,97.89,0.0006,Standard / Moderate
305_img_.png,26.67,112.59,118.46,2049.99,87.56,0.004,Deep Sea (Severe Cast)
306_img_.png,50.84,81.53,96.34,723.38,74.05,0.022,Shallow (Sunlit / Caustics)
307_img_.png,89.33,132.3,104.88,377.79,116.31,0.0243,Shallow (Sunlit / Caustics) + High Green Density (Algae)
30_img_.png,46.21,163.34,172.06,933.84,129.31,0.0327,Shallow (Sunlit / Caustics)
31.png,85.37,115.43,112.58,111.72,106.12,0.0099,Standard / Moderate
311_img_.png,124.17,163.06,130.53,1394.01,147.71,0.0516,Shallow (Sunlit / Caustics) + High Green Density (Algae)
312_img_.png,50.52,106.83,132.19,1717.19,92.87,0.0032,Standard / Moderate
313_img_.png,26.37,105.69,129.46,1101.65,84.68,0.0008,Deep Sea (Severe Cast)
314_img_.png,42.8,118.76,119.51,402.99,96.13,0.0001,Standard / Moderate
315_img_.png,30.44,105.05,111.34,3238.4,83.46,0.0034,Deep Sea (Severe Cast)
316_img_.png,32.84,126.38,150.78,2099.59,101.19,0.0116,Deep Sea (Severe Cast)
317_img_.png,21.18,113.71,136.77,1772.65,88.67,0.0115,Deep Sea (Severe Cast)
318_img_.png,54.99,88.89,89.32,1019.32,78.79,0,Standard / Moderate
3196.png,32.46,86.47,69.45,54.83,68.39,0.0021,Turbid / High Haze + Deep Sea (Severe Cast)
319_img_.png,12.81,115.42,121.21,877.1,85.4,0.002,Deep Sea (Severe Cast)
3202.png,24.01,81.28,81.33,17.68,64.16,0,Turbid / High Haze + Deep Sea (Severe Cast)
320_img_.png,59.94,103.53,122.55,4794.47,92.67,0.0086,Standard / Moderate
322_img_.png,15.6,145.69,130.02,1593.09,105,0.0006,Deep Sea (Severe Cast)
323_img_.png,11.31,69.88,139.54,758.02,60.3,0.0018,Deep Sea (Severe Cast)
324_img_.png,29.37,88.81,108.69,2747.58,73.3,0.0008,Deep Sea (Severe Cast)
325_img_.png,15.59,125.25,160.78,1512.2,96.52,0,Deep Sea (Severe Cast)
326_img_.png,17.58,133.03,152.77,1997.03,100.76,0.0031,Deep Sea (Severe Cast)
327_img_.png,27.18,91.9,126.48,438.45,76.47,0,Deep Sea (Severe Cast)
328_img_.png,80.66,135.71,122.13,33,117.7,0.0002,Turbid / High Haze
32_img_.png,22.09,104.84,129.78,689.79,82.92,0,Deep Sea (Severe Cast)
330_img_.png,31.64,85.34,108,570.74,71.85,0.0169,Deep Sea (Severe Cast)
332_img_.png,51.37,60.22,54.01,1059.51,56.86,0.0005,Standard / Moderate
3330.png,13.97,76.86,133.52,12.48,64.52,0,Turbid / High Haze + Deep Sea (Severe Cast)
334_img_.png,36.41,142.5,162.02,2289.65,113,0.0064,Deep Sea (Severe Cast)
336_img_.png,79.27,118.44,132.01,2353.04,108.27,0.0675,Shallow (Sunlit / Caustics)
337_img_.png,23.71,78.07,86.59,831.84,62.77,0.0002,Deep Sea (Severe Cast)
338_img_.png,52.92,72.38,43.7,1023.69,63.28,0.0084,Standard / Moderate
340_img_.png,25.35,96.52,130.61,407.08,79.13,0.0009,Deep Sea (Severe Cast)
341_img_.png,23.44,94.26,104.29,978.73,74.22,0.0024,Deep Sea (Severe Cast)
342_img_.png,7.47,124.98,138.65,200.62,91.42,0,Deep Sea (Severe Cast)
343_img_.png,52.98,110.42,143.56,861.94,97.03,0,Standard / Moderate
345_img_.png,2.19,115.44,178.57,90.29,88.73,0.0008,Turbid / High Haze + Deep Sea (Severe Cast)
346_img_.png,86.06,103.17,103.39,3047.51,98.07,0.0002,Standard / Moderate
347_img_.png,69.4,119.59,118.06,850.75,104.41,0.0016,Standard / Moderate
348_img_.png,4.38,148.4,132.59,306.94,103.54,0,Deep Sea (Severe Cast)
35.png,95.93,128.35,120.18,332.85,117.73,0.0202,Shallow (Sunlit / Caustics)
350_img_.png,41.89,119.34,122.32,1695.77,96.51,0.0004,Standard / Moderate
351_img_.png,48.6,84.61,94.74,3317.58,74.99,0.0019,Standard / Moderate
353_img_.png,56.28,106.96,109.01,875.34,92.03,0.0001,Standard / Moderate
355_img_.png,36.4,84.27,99.12,122,71.63,0,Deep Sea (Severe Cast)
356_img_.png,11.63,154.54,177.41,1267.96,114.42,0.0091,Deep Sea (Severe Cast)
359_img_.png,8.52,88.84,148.4,1440.76,71.61,0.0049,Deep Sea (Severe Cast)
360_img_.png,7.52,104.92,148.72,124.52,80.79,0,Deep Sea (Severe Cast)
361_img_.png,16,85.8,80.19,207.41,64.28,0.0013,Deep Sea (Severe Cast)
362_img_.png,3.79,73.6,133.67,165.11,59.57,0,Deep Sea (Severe Cast)
363_img_.png,4.4,56.16,108.41,311.64,46.62,0.0002,Low Illumination + Deep Sea (Severe Cast)
364_img_.png,13,83.59,151.66,164.2,70.24,0.0002,Deep Sea (Severe Cast)
3650.png,97.65,95.17,84.33,46.84,94.68,0.0008,Turbid / High Haze
365_img_.png,10.17,97.73,121.88,2764.41,74.31,0.0003,Deep Sea (Severe Cast)
366_img_.png,55.39,94.45,86.41,1702.79,81.86,0.0264,Shallow (Sunlit / Caustics)
367_img_.png,20.43,147.21,142.61,1976.36,108.78,0,Deep Sea (Severe Cast)
369_img_.png,49.76,86.31,103.07,79.68,77.29,0.0046,Turbid / High Haze
370_img_.png,61.9,81.38,84.82,106.06,75.94,0.005,Standard / Moderate
371_img_.png,44.37,74.33,102.46,15.92,68.57,0,Turbid / High Haze
3728.png,102.08,115.9,108.75,66.85,110.96,0.0028,Turbid / High Haze
372_img_.png,83.34,119.81,135.68,18.01,110.71,0,Turbid / High Haze
373_img_.png,14.46,84.6,127,79.65,68.47,0,Turbid / High Haze + Deep Sea (Severe Cast)
374_img_.png,9.84,83.74,131.58,19.09,67.09,0,Turbid / High Haze + Deep Sea (Severe Cast)
375_img_.png,91.87,100.97,118.64,88.24,100.25,0.0076,Turbid / High Haze
376_img_.png,95.48,113.38,119.36,109.04,108.71,0.013,Standard / Moderate
377_img_.png,80.15,114.38,139.84,40.98,107.04,0.0028,Turbid / High Haze
378_img_.png,120.33,121.17,122.51,226.31,121.07,0.0536,Shallow (Sunlit / Caustics)
379_img_.png,105.5,114.44,139.45,25.21,114.61,0.013,Turbid / High Haze
37_img_.png,91.95,119.52,88.99,599.84,107.8,0.0217,Shallow (Sunlit / Caustics) + High Green Density (Algae)
380_img_.png,46.98,185.56,142.22,15.59,139.2,0,Turbid / High Haze + High Green Density (Algae)
381_img_.png,9.25,166.83,200.71,345.46,123.58,0,Deep Sea (Severe Cast)
382_img_.png,45.93,162.79,171.44,140.63,128.87,0,Standard / Moderate
